name,overall_rating,potential,national_team,national_rating
L. Messi,94,94,Argentina,82
C. Eriksen,88,89,Denmark,78
P. Pogba,88,91,France,84
L. Insigne,88,88,Italy,83
K. Koulibaly,88,91,,
V. van Dijk,88,90,Netherlands,81
K. Mbappé,88,95,France,84
S. Agüero,89,89,Argentina,82
M. Neuer,89,89,Germany,85
E. Cavani,89,89,Uruguay,81
Sergio Busquets,89,89,Spain,85
T. Courtois,89,90,Belgium,85
M. ter Stegen,89,92,Germany,85
A. Griezmann,89,90,France,84
M. Salah,89,90,Egypt,73
P. Dybala,89,94,Argentina,82
M. Škriniar,86,93,,
Fernandinho,87,87,,
G. Higuaín,87,87,,
I. Rakitić,87,87,,
J. Vertonghen,87,87,Belgium,85
D. Mertens,87,87,Belgium,85
Marcelo,87,87,,
T. Alderweireld,87,88,Belgium,85
Jordi Alba,87,87,Spain,85
Thiago,87,87,Spain,85
C. Immobile,87,87,Italy,83
K. Navas,87,87,,
Isco,87,90,Spain,85
J. Rodríguez,87,88,Colombia,79
Casemiro,87,89,,
M. Icardi,87,90,Argentina,82
Kepa,84,90,Spain,85
H. Ziyech,84,86,,
Fabinho,84,88,,
A. Martial,84,90,,
T. Werner,84,87,Germany,85
N. Süle,84,90,Germany,85
Bruno Fernandes,84,88,Sporting CP,78
Alex Telles,84,86,,
J. Giménez,84,88,Uruguay,81
N. Fekir,84,88,,
D. Sánchez,84,88,Colombia,79
Marco Asensio,84,89,Spain,85
O. Dembélé,84,92,France,84
Iniesta,85,85,,
Z. Ibrahimović,85,85,,
Jorginho,83,84,Italy,83
E. Višća,83,83,,
S. Gnabry,83,87,Germany,85
M. Kovačić,83,89,,
William Carvalho,83,86,Portugal,82
Felipe,83,84,,
Y. Carrasco,83,86,Dalian YiFang FC,64
Lucas Vázquez,83,83,,
Q. Promes,83,83,Netherlands,81
L. Goretzka,83,88,Germany,85
A. Rabiot,83,87,,
A. Romagnoli,83,90,,
João Cancelo,83,89,Portugal,82
Anderson Talisca,83,87,,
K. Coman,83,88,,
T. Lemar,83,89,France,84
J. Tah,82,87,Germany,85
M. Politano,82,85,,
C. Lenglet,82,88,,
Pau López,82,87,Spain,85
H. Lozano,82,87,Mexico,77
Malcom,82,89,,
L. Torreira,82,87,Uruguay,81
Gonçalo Guedes,82,86,Portugal,82
G. Lo Celso,82,88,Argentina,82
Fabián,82,90,,
F. de Jong,82,89,Netherlands,81
Raphaelito Anjos,82,82,Brazil,81
Juiano Mestres,82,82,Brazil,81
Rosberto Dourado,82,82,Brazil,81
Arthur,82,90,,
Rodri,82,87,Spain,85
M. Parolo,82,82,,
M. Kruse,82,82,,
J. Henderson,82,82,England,82
N. Gaitán,82,82,,
M. Arnautović,82,82,Austria,77
S. Giovinco,82,82,Al Hilal,74
G. Sigurðsson,82,82,Iceland,72
Giuliano,82,82,,
P. Gulácsi,82,83,Hungary,73
Luiz Gustavo,82,82,,
K. Trippier,82,82,England,82
A. Ramsey,82,82,Wales,75
M. Balotelli,82,82,,
Marlos,82,82,,
Taison,82,82,,
G. Bonaventura,82,82,,
G. Kondogbia,81,84,,
J. Roussillon,81,83,,
S. Zaza,81,82,,
S. Vrsaljko,81,81,,
C. Kramer,81,82,,
B. Mendy,81,86,,
M. Sabitzer,81,84,Austria,77
M. Nastasić,81,84,,
A. Plea,81,83,,
M. Ginter,81,83,Germany,85
Gerard Moreno,81,83,,
A. Doucouré,81,85,,
R. Guerreiro,81,84,,
Ricardo Pereira,81,84,,
Samu Castillejo,81,85,,
J. Brandt,81,88,Germany,85
N. Pépé,80,88,,
S. Bergwijn,80,86,Netherlands,81
A. Onana,80,85,Cameroon,75
F. Balbuena,80,83,,
André Silva,80,87,Portugal,82
Oyarzabal,80,87,,
Everton Andrão,80,80,Brazil,81
Welington Dano,80,80,Brazil,81
Richarlison,80,86,,
Odriozola,80,88,,
Carlos Soler,80,87,,
H. Aouar,80,90,,
T. Ndombele,80,89,France,84
M. Gómez,80,85,Uruguay,81
Joaquín,81,81,,
J. Mathieu,81,81,,
J. Matip,80,82,,
S. Aurier,80,83,Côte d'Ivoire,75
J. Guilavogui,80,81,,
A. Oxlade-Chamberlain,80,85,,
M. Ryan,80,83,Australia,73
V. Aboubakar,80,81,FC Porto,81
L. Muriel,80,81,Colombia,79
D. Vida,80,80,,
Ibai Gómez,80,80,,
Cristian Tello,80,80,,
Ismaily,80,80,,
A. Mandi,80,83,,
C. Tătăruşanu,80,80,Romania,72
J. Murillo,80,84,Colombia,79
E. Dier,80,84,England,82
J. Butland,80,85,England,82
S. Sorrentino,80,80,,
W. Rooney,80,80,,
Moyá,80,80,,
L. López,80,80,,
J. Mascherano,80,80,,
Raffael,80,80,,
Diego López,80,80,,
Juanfran,80,80,,
I. Denisov,80,80,,
I. Akinfeev,80,80,Russia,77
A. Gignac,80,80,,
A. Granqvist,80,80,,
Manuel Fernandes,80,80,,
Dante,80,80,,
L. Perrin,80,80,,
Borja Valero,80,80,,
A. Januzaj,79,85,Belgium,85
J. Hector,79,79,Germany,85
M. Dabbur,79,81,,
Óliver Torres,79,84,,
Y. Bounou,79,82,,
J. Hofmann,79,80,,
Otávio,79,85,,
Jonny,79,83,,
L. Dendoncker,79,85,Belgium,85
R. Zobnin,79,86,Russia,77
Ricardo Horta,79,84,,
Thiago Mendes,79,83,,
J. Lerma,79,83,Colombia,79
J. Gbamin,79,84,,
I. Marcone,79,80,,
D. Benedetto,79,79,,
M. Hitz,79,79,,
N. Clyne,79,80,,
A. Ljajić,79,80,,
J. Guðmundsson,79,79,Iceland,72
Elkeson,79,79,,
Kike García,79,79,,
Escudero,79,79,,
Herrerín,79,79,,
Víctor Ruiz,79,79,,
G. Medel,79,79,Chile,77
Y. Belhanda,79,79,,
Hugo Mallo,79,79,,
Borja García,79,79,,
W. Khazri,79,79,,
P. Jones,79,80,,
A. Finnbogason,79,79,Iceland,72
Vinícius Júnior,78,92,,
Junior Firpo,78,85,,
E. Belözoğlu,79,79,,
Fernando Torres,79,79,,
B. Schweinsteiger,79,79,,
B. Yılmaz,79,79,,
M. Gómez,79,79,,
A. Young,79,79,England,82
R. Babel,79,79,Netherlands,81
B. Costil,79,79,,
S. Kalou,79,79,,
E. Lavezzi,79,79,,
H. Ben Arfa,79,79,,
B. Foster,79,79,,
T. Heaton,79,79,,
Charles,79,79,,
G. Cahill,79,79,,
A. Iwobi,78,84,,
R. Loftus-Cheek,78,85,,
A. Selikhov,78,82,,
J. Mojica,78,81,,
W. Barrios,78,83,,
C. Izquierdoz,78,78,,
W. Benítez,78,82,,
N. Maksimović,78,81,,
A. Mitrović,78,83,,
M. Sportiello,78,80,,
Capa,78,81,,
Marcelo Goiano,78,78,,
Y. Tielemans,78,87,Belgium,85
S. Lobotka,78,84,,
M. Philipp,78,83,,
L. Dubois,78,82,,
L. Dunk,78,81,,
C. Schindler,78,80,,
Y. Konoplyanka,78,78,,
Pedro Mendes,78,80,,
R. Saponara,78,78,,
L. Kurzawa,78,81,,
M. Hinteregger,78,80,Austria,77
D. da Costa,78,80,,
Fernando,78,80,,
W. Boly,78,80,,
A. Schwolow,78,79,,
G. Defrel,78,78,,
Álvaro,78,79,,
L. Bittencourt,78,81,,
A. Carrillo,78,78,Al Hilal,74
M. Elyounoussi,78,83,Norway,75
O. Karnezis,78,78,,
De Marcos,78,78,,
R. Cabella,78,78,,
J. Hart,78,78,,
Jurado,78,78,,
E. Hernández,78,78,,
D. Ginczek,78,79,,
Lucas Pérez,78,78,,
J. Farfán,78,78,Peru,73
A. Begović,78,78,,
Hilton,78,78,,
J. Baumgartlinger,78,78,Austria,77
Granero,78,78,,
Z. Junuzović,78,78,,
V. Moses,78,78,,
M. Debuchy,78,78,,
G. Maripán,77,81,Chile,77
Iván Cuéllar,77,77,,
F. Johnson,77,77,,
Aarón Martín,77,84,,
G. Pereiro,77,82,Uruguay,81
B. Moukandjo,77,77,,
M. Harnik,77,77,,
J. Ward-Prowse,77,82,,
R. Alessandrini,78,78,,
Manu García,78,78,,
M. Antonio,78,78,,
Adrien Silva,78,78,,
S. Cook,78,78,,
B. Mee,78,78,,
Adriano,78,78,,
J. Lens,78,78,,
S. Rondón,77,77,Venezuela,73
Andreas Pereira,77,82,,
V. Ibišević,77,77,,
L. Ocampos,77,82,,
N. Müller,77,77,,
Simão Acunha,77,77,Brazil,81
